STATE,SITE_NAME,ESA_CODE,MDF_CODE,ISAM_AVAIL_PRTS_MAX_20MBPS,ADDNL_AVAIL_PRTS_MAX_20MBPS,ADDNL_AVAIL_PRTS_MAX_8MBPS,TOTAL_AVAIL_PRTS
QLD,ACACIA RIDGE,AARE,AARE01,1580,0,0,1580
SA,BROOKLYN PARK,AASS,AASS01,166,0,274,440
VIC,APOLLO BAY,ABAY,ABAY01,204,121,0,325
NSW,AVOCA BEACH,ABCH,ABCH01,1216,283,811,2310
QLD,ALBANY CREEK,ABCK,ABCK01,344,0,0,344
NSW,ABERDEEN,ABDN,ABDN01,298,0,0,298
NSW,ABERMAIN,ABMN,ABMN01,70,1,0,71
QLD,ALBION,ABON,ABON01,1,0,407,408
QLD,ASCOT,ACOT,ACOT01,360,0,0,360
NSW,ADAMINABY,ADAM,ADAM01,334,0,0,334
NSW,ARMIDALE,ADLE,ADLE01,299,0,0,299
NSW,ADELONG,ADLG,ADLG01,195,0,0,195
NT,ADELAIDE RIVER,AERR,AERC01,0,0,6,6
VIC,ARCHIES CREEK,AESK,AESK01,277,0,0,277
SA,ANGLE VALE,AEVE,AEVE01,161,0,0,161
QLD,ABERGOWRIE,AGOW,AGOW01,0,28,0,28
QLD,ASHGROVE,AGVE,AGVE01,47,0,0,47
QLD,AGNES WATER,AGWS,AGWS01,158,0,0,158
NT,PLENTY AMPILATWATJA,PLNY,AIJE01,72,0,0,72
QLD,AIRLIE BEACH,AIRL,AIRL01,639,0,845,1484
QLD,AIRVILLE,AIRV,AIRV01,0,0,0,0
VIC,ANAKIE,AKIE,AKIE01,220,0,0,220
NSW,ALBURY,ALBY,ALBY01,2530,0,1479,4009
NT,DAVENPORT - ALI CURUNG,DAVE,ALCG01,94,0,0,94
QLD,ALICE RIVER,ALCR,ALCR01,283,0,291,574
SA,ALDINGA,ALDA,ALDA01,45,0,0,45
VIC,AIREYS INLET,ALET,ALET01,51,0,0,51
VIC,APSLEY,ALEY,ALEY01,168,0,0,168
VIC,ALFREDTON,ALFN,ALFN01,310,0,307,617
QLD,ALLIGATOR CREEK,ALGR,ALGR01,289,0,0,289
QLD,ALLINGHAM,ALHM,ALHM01,0,272,0,272
QLD,ALLORA,ALLO,ALLO01,104,0,0,104
VIC,ALLANSFORD,ALND,ALND01,219,0,0,219
WA,ALBANY NORTH,ALNY,ALNO01,24,0,42,66
WA,ALBANY,ALNY,ALNY01,1086,0,179,1265
QLD,ALPHA,ALPH,ALPH01,62,0,0,62
NSW,ALBION PARK,ALPK,ALPK01,3768,0,0,3768
NT,ALICE SPRINGS,ALSS,ALSS01,2885,0,5,2890
NSW,ALSTONVILLE,ALST,ALST01,1,0,666,667
VIC,ALTONA,ALTA,ALTA01,6,0,205,211
QLD,ALTON DOWNS,ALTO,ALTO01,147,0,0,147
QLD,ALEXANDRA HILLS,ALXH,ALXH01,682,0,4,686
QLD,AMAMOOR,AMAM,AMAM01,197,0,0,197
NT,PETERMANN AMATA,PETN,AMAO01,26,0,0,26
QLD,AMBERLEY,AMBE,AMBE01,3,0,0,3
WA,AMBERGATE,AMGT,AMGT01,0,0,0,0
QLD,AMITY POINT,AMIT,AMIT01,42,0,0,42
SA,AMERICAN RIVER,AMRV,AMRV01,0,112,0,112
NSW,ANEMBO,ANBO,ANBO01,0,0,0,0
VIC,AVENEL,ANEL,ANEL01,0,0,0,0
SA,ANGASTON,ANGN,ANGN01,369,0,0,369
NSW,ANNA BAY,ANNA,ANNA01,542,0,0,542
QLD,GULLIVER ANNANDALE OP MDF,GULL,ANXL01,151,0,0,151
VIC,ARDMONA,AONA,AONA01,303,0,0,303
QLD,ASPLEY,APLY,APLY01,1185,0,0,1185
NSW,APPIN EXCHANGE,APPN,APPN01,229,235,0,464
WA,APPLECROSS,APPX,APPX01,313,0,0,313
NSW,ARALUEN,ARAL,ARAL01,61,0,0,61
QLD,ARAMAC,ARAM,ARAM01,0,0,0,0
VIC,ARARAT,ARAT,ARAT01,233,0,328,561
VIC,ARTHURS CREEK,ARCK,ARCK01,119,0,0,119
NSW,ARDING,ARDG,ARDG01,0,0,0,0
NSW,ARNDELL PARK,BLAC,ARDK01,668,0,0,668
NSW,ARDLETHAN,ARDL,ARDL01,0,42,49,91
SA,ARDROSSAN,ARDN,ARDN01,289,27,0,316
WA,ARMADALE,ARMD,ARMD01,1502,0,2159,3661
NSW,ARIAH PARK,ARPK,ARPK01,0,68,0,68
NSW,ARUMPO,ARPO,ARPO01,0,0,23,23
QLD,ARUNDEL,ARUN,ARUN01,71,0,16,87
QLD,ASCOT FACTORY,ASCO,ASCO01,0,0,0,0
VIC,ASCOT,ASCT,ASCT01,2,0,1940,1942
VIC,ANGLESEA,ASEA,ASEA01,247,252,481,980
NSW,ASHFORD,ASHD,ASHD01,334,0,0,334
NSW,ASHFIELD,ASHF,ASHF01,698,0,0,698
QLD,ASHMORE,ASHM,ASHM01,1608,0,0,1608
NSW,ASHLEY,ASLY,ASLY01,0,14,0,14
WA,ASCOT,ASOT,ASOT01,471,0,1,472
NT,YULARA AYERS ROCK,YULA,ASRK01,56,0,0,56
QLD,ATHERTON,ATHE,ATHE01,2059,0,0,2059
QLD,ARATULA,ATLA,ATLA01,111,0,0,111
WA,ASCOT PIA EXCHANGE,ASOT,ATQK01,167,0,0,167
WA,ATTADALE,ATTA,ATTA01,654,0,355,1009
NSW,ATTUNGA,ATUN,ATUN01,0,0,0,0
SA,AUBURN,AUBN,AUBN01,263,0,0,263
QLD,AUGATHELLA,AUGA,AUGA01,115,0,0,115
WA,AUGUSTA,AUGU,AUGU01,0,170,59,229
NT,PLENTY ALPARRA,PLNY,AUJE01,82,0,0,82
QLD,AURUKUN,AURN,AURN01,90,0,0,90
WA,AUSTRALIND,AUSD,AUSD01,1181,0,0,1181
NSW,AUSTRAL,AUST,AUST01,343,0,10,353
NSW,AVALON BEACH,AVAL,AVAL01,1762,72,2240,4074
TAS,AVOCA,AVCA,AVCA01,0,23,0,23
VIC,ALVIE,AVIE,AVIE01,0,71,0,71
VIC,AVOCA,AVOA,AVOA01,28,0,0,28
QLD,AVOCA,AVOC,AVOC01,237,0,26,263
VIC,ALEXANDRA,AXDA,AXDA01,126,0,0,126
VIC,AXEDALE,AXEE,AXEE01,292,0,0,292
VIC,AXE CREEK,AXEK,AXEK01,137,0,0,137
NT,ALYANGULA,AYLB,AYLB01,103,0,0,103
QLD,AYR,AYRR,AYRR01,1768,0,0,1768
TAS,BAGDAD,BAAD,BAAD01,190,0,0,190
NSW,BARRABA,BABA,BABA01,217,0,0,217
QLD,BABINDA,BABI,BABI01,206,0,0,206
VIC,BACCHUS MARSH,BACC,BACC01,0,0,0,0
VIC,BARANDUDA,BADA,BADA01,284,0,0,284
TAS,BADEN,BAEN,BAEN01,128,0,0,128
QLD,BAFFLE CREEK,BAFF,BAFF01,185,0,0,185
NSW,BAROOGA,BAGA,BAGA01,49,0,0,49
VIC,BAIRNSDALE,BAIR,BAIR01,438,0,765,1203
QLD,BAJOOL,BAJO,BAJO01,154,0,0,154
NSW,BANKSTOWN AIRPORT,BANK,BAKA01,188,0,0,188
NSW,BALLALABA,BALA,BALA01,0,0,0,0
VIC,BALACLAVA,BALC,BALC01,2,0,141,143
WA,BALDIVIS,BALD,BALD01,245,0,123,368
NSW,BALGOWLAH,BALG,BALG01,906,0,0,906
NSW,BALMAIN,BALM,BALM01,1230,0,0,1230
VIC,BALLAN,BALN,BALN01,117,0,0,117
VIC,BALMORAL,BALO,BALO01,0,0,0,0
WA,BALINGUP,BALP,BALP01,310,0,0,310
VIC,BAMAWM,BAMA,BAMA01,112,0,0,112
NSW,BANGALOW,BANG,BANG01,84,0,0,84
NSW,BANKSTOWN,BANK,BANK01,481,0,0,481
TAS,BARRINGTON,BAON,BAON01,140,0,0,140
QLD,BRISBANE AIRPORT,BAPT,BAPT01,0,74,153,227
QLD,BARCALDINE,BARC,BARC01,160,0,0,160
QLD,BARGARA,BARG,BARG01,0,0,286,286
VIC,BARMAH,BARM,BARM01,146,0,0,146
VIC,BARONGAROOK,BARO,BARO01,0,0,0,0
VIC,BASS,BASS,BASS01,134,0,0,134
WA,BATEMAN,BATA,BATA01,1139,0,0,1139
NSW,BATEMANS BAY,BATE,BATE01,559,59,458,1076
NSW,BATHURST,BATH,BATH01,1420,0,775,2195
NSW,BATLOW,BATL,BATL01,11,0,0,11
VIC,BATMAN,BATM,BATM01,371,0,371,742
NSW,BAULKHAM HILLS,BAUL,BAUL01,64,0,0,64
VIC,BAYSWATER NORTH,BAWN,BAWN01,111,0,0,111
VIC,BAW BAW,BAWW,BAWW01,0,0,20,20
VIC,BAXTER,BAXR,BAXR01,35,0,843,878
VIC,BAYLES,BAYL,BAYL01,212,0,0,212
VIC,BAYSWATER,BAYR,BAYR01,1095,0,0,1095
WA,BURNS BEACH,BBCH,BBCH01,15,0,182,197
QLD,BUNDABERG,BBEG,BBEG01,5039,0,2693,7732
QLD,BELLS BRIDGE,BBGE,BBGE01,297,0,0,297
WA,BULLSBROOK EAST,BBKE,BBKE01,114,0,0,114
NSW,BELBORA,BBOR,BBOR01,0,0,0,0
NSW,BUNDABURRAH,BBRH,BBRH01,0,0,0,0
VIC,BANNOCKBURN,BBRN,BBRN01,784,0,0,784
WA,BUNBURY,BBRY,BBRY01,1782,0,1047,2829
NSW,BILBUL,BBUL,BBUL01,139,0,0,139
WA,BECHER,BCHE,BCHE01,2,0,0,2
NSW,BURCHER,BCHR,BCHR01,0,0,0,0
WA,BEECHBORO,BCHS,BCHS01,919,0,0,919
QLD,BUNDAMBA,BDBA,BDBA01,597,0,400,997
NSW,BERRIDALE,BDLE,BDLE01,225,0,0,225
NSW,BENDALONG,BDLG,BDLG01,127,0,0,127
NSW,BARADINE,BDNE,BDNE01,0,0,0,0
NSW,BUNDARRA,BDRA,BDRA01,142,0,0,142
NSW,BALLADORAN,BDRN,BDRN01,0,0,0,0
QLD,BEAUDESERT,BDST,BDST01,1091,0,69,1160
SA,BORDERTOWN,BDTN,BDTN01,511,0,0,511
SA,BIRDWOOD,BDWD,BDWD01,1,0,0,1
VIC,BROADMEADOWS,BDWS,BDWS01,3,0,553,556
VIC,BEEAC,BEAC,BEAC01,0,107,0,107
VIC,BEAUMARIS,BEAU,BEAU01,138,0,133,271
QLD,BENARABY,BEBY,BEBY01,185,0,0,185
NSW,BEECHWOOD,BECH,BECH01,0,182,0,182
VIC,BEACONSFIELD UPPER,BECU,BECU01,0,0,0,0
NSW,BEDGEREBONG,BEDG,BEDG01,0,0,0,0
VIC,BONNIE DOON,BEDN,BEDN01,145,0,0,145
QLD,GEORGINA,GINA,BEDP01,184,0,0,184
QLD,BEENLEIGH,BEEL,BEEL01,2,0,533,535
QLD,BEERBURRUM,BEEM,BEEM01,53,0,0,53
NSW,BEGA,BEGA,BEGA01,247,0,423,670
TAS,BEACONSFIELD,BELD,BELD01,404,0,0,404
NSW,BELFORD,BELF,BELF01,52,0,0,52
VIC,BELGRAVE,BELG,BELG01,131,0,0,131
QLD,BELLI,BELI,BELI01,81,0,0,81
VIC,BELMONT,BELM,BELM01,482,0,1951,2433
WA,ELLENBROOK OP MDF,ELBK,BELS01,3,0,113,116
NSW,BELMONT,BELT,BELT01,281,0,825,1106
NSW,BELUBULA,BELU,BELU01,0,0,0,0
NSW,BELLANGRY,BELY,BELY01,61,0,48,109
NSW,BERRIMA,BEMA,BEMA01,186,0,0,186
NSW,BEMBOKA,BEMB,BEMB01,148,0,0,148
VIC,BENA,BENA,BENA01,154,0,0,154
VIC,BENDIGO WILLIAMSON STREET,BEND,BENC01,2291,0,376,2667
VIC,BENDIGO SHORT STREET,BEND,BEND01,1233,0,2143,3376
NSW,BENI,BENI,BENI01,0,0,0,0
NSW,BENDEMEER,BENR,BENR01,165,0,0,165
VIC,BENTLEIGH,BENT,BENT01,18,0,0,18
SA,BERRI,BERI,BERI01,84,0,0,84
VIC,BERRYS CREEK,BERK,BERK01,139,0,0,139
NSW,BEROWRA,BERO,BERO01,554,0,0,554
NSW,BERMAGUI SOUTH,BERS,BERS01,101,0,0,101
NSW,BERRY,BERY,BERY01,91,0,0,91
VIC,BEULAH,BEUL,BEUL01,0,0,0,0
VIC,BEVERFORD,BEVD,BEVD01,118,0,0,118
TAS,BELLERIVE,BEVE,BEVE01,1417,0,359,1776
VIC,BERWICK,BEWK,BEWK01,1301,0,709,2010
NSW,BEXHILL,BEXL,BEXL01,191,0,0,191
VIC,BEAUFORT,BFOT,BFOT01,180,0,0,180
WA,ASCOT DA057 BELMONT FORUM,ASOT,BFPB01,359,17,52,428
NSW,BERRIGAN,BGAN,BGAN01,152,0,0,152
TAS,BINALONG BAY,BGBY,BGBY01,173,0,0,173
